product_code,customer_number,comments,rates
bJ452,895832,"Particularly say west who Democrat. Would prevent almost seem fire yourself me.
Care imagine operation better. Suddenly check while wall cold no. Sort history boy hospital.",1
uo643,219859,"Finish wrong really message paper difference word. Yard team professor plan measure line activity.
Nature modern later choice.",2
Sb946,817530,"Physical that affect add office page. Message player along picture.
Of job while be community situation performance. Soon federal action movie south. Team human season sense.",1
wb918,496036,"Left visit development that role. Dog goal election. Evidence politics child personal common out trouble.
Blue half short near trade feel ever. Where computer consumer realize stuff themselves a.",1
Fg660,741539,Financial Democrat establish method government song sing. Assume effect crime chance really that. Politics protect among.,1
Pt896,286034,Result little program. Radio reduce democratic painting because political lawyer market. Raise policy many true he. Mention smile often degree turn letter decade.,4
Yx622,303534,Dinner everything recently ten time apply. Rate speech certain past what. American successful cold speech.,1
Sb946,415184,"Reduce create pressure management whatever present. Maybe pressure statement.
Although either store understand decade rise stay. Help this radio occur degree after.",1
ml841,758655,"Seven difficult policy appear.
Name allow sort feel. Rule somebody western natural marriage trial.
Some professional remember trip. Hope cell together garden. Tell goal woman least suggest color.",4
Do325,286034,"Population sister whether amount. Organization moment each share listen. Side beyond box short.
Bad article inside man leave weight phone.",3
ml841,897704,Hear property would agency project western know. Voice source image involve son international several.,4
