product_discount_code,product_code,discount_value,discount_unit,date_created,valid_until,discount_description
555103,fc019,21.23,A,2023-08-20 08:58:09.596138,2024-08-16 00:15:46.493283,"Marriage executive national example.
Last few tough debate show article society. Bill million none around pressure likely former happy. Create same future."
210651,qH622,31.17,A,2023-10-17 08:33:42.605762,2024-01-17 20:30:27.059190,Rock keep contain condition people. Nearly only thing nearly age treat different.
905107,FZ355,7.57,P,2023-09-26 06:58:39.076646,2023-12-10 01:01:09.641538,"Throw yourself add beyond late. Father think forward we major certain news life.
Senior leave chance language second second. Near daughter instead tell."
651026,vd900,39.92,A,2023-12-17 00:00:34.905189,2024-01-01 14:21:57.738048,Administration sure painting material. Market Mr range. Skin artist off eye deep design receive.
967721,sp852,3.0,P,2023-03-23 21:51:58.239263,2023-11-12 03:12:44.058646,"Dream city painting carry husband peace.
Stop security kind carry anyone sing. All though drop course dark as occur."
536535,LQ642,28.78,A,2023-08-24 12:41:51.607669,2024-03-05 14:26:33.805769,"Hard ready nice behavior.
Issue wife million do leave.
Manage story again meeting main industry. President although cultural fund stay song here."
381694,VE343,2.63,P,2023-04-03 00:24:47.881713,2023-12-25 09:42:30.402016,"Certainly myself staff Republican. Result real listen. Walk treat ever piece.
Kind news perform party thing first. Happen issue once I accept happy. Man when child treatment business."
661035,FI044,19.8,P,2023-05-05 08:45:55.469048,2024-02-11 02:45:50.899543,"Office bit mention age place dinner surface. Few wish continue feeling behind herself.
Order car life. Drop maybe modern back."
303698,NU552,49.3,A,2024-04-11 19:01:37.455213,2025-03-30 01:31:56.770172,"Official question be play sometimes reflect measure pull. Test everybody feeling education.
Check field story choice. Type institution talk."
521492,SZ182,11.7,A,2022-12-18 09:16:05.702242,2023-07-10 17:27:17.557667,"Prove perform east suffer understand tend. Marriage stand evidence force relationship high majority.
Reach technology clearly son administration performance traditional."
406714,Qb555,35.36,P,2024-02-05 13:44:16.877872,2024-05-31 20:55:59.646544,"Court bank keep certainly beautiful gas. Image military necessary box.
World study both reduce trip machine herself. East room movie senior military hear buy.
Speak imagine four number black carry."
318636,Ly627,29.75,A,2023-06-17 10:30:25.029944,2023-11-01 12:52:11.848949,"Effort defense loss understand easy simply shake use.
Own rich enter safe. Card identify think.
Use model capital plant pass. Music oil how society among."
659588,Gh143,17.92,P,2024-04-26 19:53:39.708990,2024-06-08 19:57:08.143823,Theory nothing season old station apply discussion. Front seek could.
350236,XI551,35.75,P,2022-11-12 20:09:22.589733,2023-07-29 11:54:14.005963,Degree sense animal road character. Person nation manager protect here heart anything there. Shoulder no company mouth choice strong. May politics take air.
828173,fA365,27.75,A,2023-11-10 05:37:41.460245,2024-06-09 22:32:15.409129,"Nor say nor sound they system a. Others join hundred skill.
Middle people ago course. Million them away make consider team."
678443,Yx622,21.52,P,2022-12-09 13:47:23.651720,2023-05-16 10:37:51.330144,"Girl fund successful. Enjoy movement because building record.
Investment read describe way majority either. Another study woman certain. Economic learn national contain east store."
